POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2000,0.06837887299600388,0.00016798870073799459,0.2570169521354562,0.014912124295147596,0.001418426852673719,0.00010267800201993215,0.00043971137810834657,0.00013974359828968034,6.531069871806245e-05,3.139039825818071e-05,0.003436507493835266,0.0007362938742557599,0.014880733896889415,5.873399248845631e-06,0.00012662111713964355,0.25676865713589775
2006,0.07035762292229512,0.0002908991566454015,0.012712684196346021,0.20018351942447501,0.06824338891171408,0.0,0.0,3.372743845164075e-05,0.0002908991566454015,9.296125223233481e-05,0.020697926702085295,0.06820966147326243,0.20009055817224267,0.0009122669825482187,0.0,0.011766689775346163
2007,0.03268496806526273,0.00045835337084295475,0.08359745325287285,0.04052027497622031,0.006163790661114787,0.0002720967007124254,0.0012944028762462523,0.000428262476309281,0.00018625667013052932,6.328038401436998e-05,0.012479162801414544,0.004169028607846829,0.04045699459220594,6.184646947315587e-05,0.00043189384205187173,0.08283524760637799
2008,0.03555561427610232,0.00033918687865000714,0.1103357682382507,0.02696006283056282,0.004587439156945767,0.00020948576756845306,0.0008194698985305623,0.0003860892894339213,0.00012970111108155405,4.236676098484795e-05,0.008877639644011037,0.0031723942014128302,0.026917696069577973,4.578985359847496e-05,0.000246305715669341,0.10969440332764985
2009,0.04594444067935585,0.00036183326770627326,0.12059953709712856,0.060502570665660664,0.002313821686927908,0.00017873143451289624,0.0009550864566198635,0.00034873831850007426,0.00018310183319337702,0.00010094767993060326,0.0042425198402798,0.0008312654772950741,0.06040162298573006,6.307369587966303e-05,0.0006299710365637262,0.12000899364823593
2010,0.07217633905487672,0.00020768051931218236,0.26005637063708914,0.02760841136476711,0.0008328936983384553,5.257111430975355e-05,0.0002747137176336746,0.00018388794667047748,0.0001551094050024288,4.463447793889048e-05,0.0015558192289957566,0.0003217209197245497,0.02756377688682822,2.5266544162680673e-05,0.00012368878517160257,0.2597946450319462
2011,0.06180637012562197,0.00029045269394999785,0.19890031260017604,0.04703115732693181,0.0010035578814300192,6.175329106974305e-05,0.0002005431078027455,0.00025152482024753785,0.0002286994028802548,7.37232783113439e-05,0.0014950873110313196,0.0004897366623099927,0.04695743404862047,4.2881297050479e-05,0.00019642325353671307,0.1985441531918083
2015,0.03388802340168532,0.0004349669644420948,0.09367558024054247,0.038700704323104525,0.002740842078652189,0.00018548466563490825,0.0011994675044390735,0.00042222167308998834,0.00024948229880718655,9.011870103380244e-05,0.002403206037363161,0.000933668235488219,0.038610585622070724,0.00018035071506822774,0.0008972685111882812,0.09288752318674935
2016,0.0428661819301231,0.0006862692804834641,0.12443096366586216,0.044227214578260704,0.002120280195886084,0.00018026428104865187,0.0007976912146887204,0.0003562812979112264,0.0005060049994348123,0.00011698501000293738,0.002479048005415524,0.0007860434022374854,0.04411022956825777,0.0001380710070274571,0.0004067824913179828,0.12375634707987483
2017,0.06236588685499621,0.0003325915550897034,0.23172379988113584,0.01577986901071084,0.001627286973048478,0.00013946922255502227,0.00046597759909953226,0.00018769951341459488,0.0001931223325346811,4.015619424629926e-05,0.0027864821807983293,0.0008341406379793288,0.01573971281646454,7.25038100966104e-05,0.0003120132685013441,0.2313241273350696
