POA_CODE_2016,Total Population,Single Parent Families with Children under 15,Total Indigenous Population,Only method to work is Taxi,Number of 15-24 Year Olds,Total Number Of Immigrants since 2011,55 and Older who need assistance (disabled),Number of households with 1 or less cars,Number of Households with more than 3 people
2000,27411,138,52,106,5826,10018,188,7874,3260
2006,1259,0,17,3,1136,127,0,4,0
2007,8845,49,57,30,3434,3787,68,2512,999
2008,11712,49,74,35,4582,4724,68,3971,1109
2009,12813,150,122,94,1437,2702,130,4293,1547
2010,27734,138,229,201,2606,4643,583,10607,2085
2011,21196,128,227,200,2317,2606,540,8474,889
2015,9918,128,209,36,967,917,98,3114,1164
2016,13213,103,284,73,1445,1679,433,4664,1374
2017,24695,276,521,91,5357,6593,569,8584,2804
2018,17028,235,175,39,2578,2189,607,4085,2673
2019,10838,186,289,14,1256,461,379,1622,1858
2020,14772,152,175,30,2390,2490,363,3250,2391
2021,15313,168,56,104,1453,1256,224,4562,1838
2022,12507,134,58,24,1242,1702,287,3437,1655
2023,10716,137,38,38,1286,864,135,1889,1570
2024,11073,137,55,33,966,822,447,2340,1559
2025,7405,92,19,32,612,525,185,1818,932
2026,32490,361,116,98,2827,4505,546,8445,4190
2027,8195,86,26,46,616,571,227,2218,804
2028,4642,60,15,22,401,379,104,1327,499
2029,9961,152,32,31,985,714,288,2112,1421
2030,14079,180,41,17,1844,717,314,1776,2355
2031,34726,445,191,72,3995,4149,899,8780,4903
2032,16689,169,170,13,4832,4693,520,4111,2748
2033,11570,117,58,22,2480,2216,263,2779,1641
2034,20713,299,202,34,2033,2207,424,5025,2913
2035,34490,498,415,40,4704,3527,1372,7018,5507
2036,30407,542,1278,30,3794,1669,1084,4808,4689
2037,16115,192,311,70,2717,2049,412,5016,1866
2038,9451,105,91,35,991,473,216,2255,1331
2039,8725,91,66,36,636,560,112,2213,1181
2040,22242,337,304,60,1957,981,807,5027,3506
2041,15690,184,113,45,1196,870,261,4018,2123
2042,19129,175,217,44,2634,1875,284,6087,2323
2043,8014,87,91,17,714,729,68,2724,942
2044,7846,110,139,7,892,487,231,1832,1216
2045,6457,82,41,16,745,166,381,942,1140
2046,26822,391,160,32,2375,874,1159,4911,4174
2047,11950,144,35,24,995,536,429,2540,1635
2048,7938,95,69,16,885,383,215,2011,1080
2049,11282,145,193,22,1280,643,320,3038,1492
2050,8963,58,69,31,1745,1688,89,3645,803
2052,3425,3,53,0,2833,1721,3,409,76
2060,13988,132,48,54,1299,1831,257,4768,1406
2061,5943,49,21,31,414,803,138,2224,472
2062,7006,110,30,17,491,423,92,1871,962
2063,6347,56,9,11,716,289,218,732,1106
2064,9523,141,20,8,928,1244,170,2513,1585
2065,30119,289,76,81,2537,3118,468,8757,3974
2066,31626,377,110,45,3424,2495,852,6302,5001
2067,26403,378,40,18,3644,5409,742,6452,4419
2068,16813,215,34,22,1787,781,448,2519,3068
2069,14253,142,17,18,1807,854,322,1721,2585
2070,13505,130,20,14,1791,891,356,1812,2447
2071,13545,175,12,17,2077,1234,431,1679,2495
2072,7668,107,17,7,1099,834,262,1218,1350
2073,16352,151,25,9,2261,957,293,1485,3110
2074,22258,222,44,11,2746,1023,906,2822,3789
2075,20451,224,27,19,2407,1502,479,2141,3750
2076,24648,248,105,14,3530,1151,908,2832,4171
2077,37791,548,163,16,3899,4589,972,8242,6529
2079,7095,91,59,3,907,147,123,692,1384
2080,1708,21,33,4,215,40,31,186,307
2081,5369,50,42,4,728,120,85,505,1015
2082,5397,68,44,5,590,104,92,564,1013
2083,1519,25,13,0,158,30,43,264,195
2084,3625,38,27,0,447,62,138,200,626
2085,11624,101,36,8,1349,336,577,1091,1986
2086,13414,144,63,6,1659,437,217,1088,2576
2087,12798,149,49,9,1496,553,373,1377,2343
2088,28475,351,60,65,2855,2334,710,6154,4056
2089,11918,157,30,44,900,1160,219,3722,1296
2090,13724,147,20,30,987,1197,199,3921,1695
2092,7139,77,28,12,857,390,108,696,1366
2093,22873,323,76,21,2270,1347,483,3740,4010
2094,5840,67,18,13,443,494,84,1273,884
2095,15866,159,69,19,1347,2520,348,4390,1930
2096,14657,193,74,16,1346,1063,197,2611,2180
2097,15529,212,90,11,1855,560,401,1682,2630
2099,39925,600,305,51,4291,3057,1014,7460,6353
2100,20911,219,118,41,2429,864,684,2505,3693
2101,19395,266,166,15,1792,631,903,2873,2924
2102,7501,120,62,3,828,230,276,758,1310
2103,10670,122,71,6,1145,287,445,1351,1658
2104,3620,20,8,3,334,70,251,618,467
2105,1848,17,7,0,176,51,16,236,264
2106,9301,149,39,4,1112,239,166,1073,1537
2107,14669,174,87,7,1624,328,307,1350,2442
2108,1673,21,10,0,148,45,55,223,181
2109,3086,15,26,3,1328,1177,83,705,202
2110,10343,115,66,16,1485,248,580,1115,1530
2111,14412,184,78,24,1494,555,526,2659,2209
2112,32852,421,121,29,4135,3273,1228,5961,5509
2113,18371,188,59,7,2230,2013,698,3488,3101
2114,24057,280,87,22,2719,3193,605,5230,3939
2115,10737,185,132,8,1253,538,488,1497,1892
2116,6642,120,58,3,837,413,205,998,1165
2117,21285,354,160,8,2653,1472,611,3163,3639
2118,24341,336,64,15,3175,2366,696,2895,4578
2119,11643,106,28,3,1630,495,436,1109,2133
2120,20208,195,92,7,2693,947,483,2551,3675
2121,28214,342,50,12,4197,3753,637,4414,5276
2122,31160,390,75,26,4840,5161,1119,5830,5316
2123,0,0,0,0,0,0,0,0,0
2125,16374,124,42,8,2310,525,376,1175,3143
2126,18765,168,51,6,2872,1120,554,1668,3699
2127,14532,187,59,7,1384,1757,136,3087,2084
2128,4166,35,365,0,545,301,22,356,373
2129,0,0,0,0,0,0,0,0,0
2130,7311,111,68,13,737,537,252,2087,973
2131,23841,304,152,27,3207,4203,1158,6002,3617
2132,10612,148,61,12,1333,665,604,1862,1773
2133,11012,167,74,10,1356,540,403,1905,1921
2134,16033,180,31,8,3508,4430,597,3789,2652
2135,25251,230,65,13,4545,4965,919,4303,4412
2136,7364,126,34,7,1053,452,293,1173,1299
2137,26507,362,141,34,3077,1701,940,4105,4390
2138,20023,197,61,18,3243,4606,369,4883,3357
2139,57,0,3,0,3,0,3,0,0
2140,16167,181,37,12,2400,3870,261,3417,2781
2141,28675,389,87,26,4235,4472,967,4317,5193
2142,26292,403,157,36,3529,4334,789,4694,4344
2143,8921,178,56,3,1287,760,350,1288,1569
2144,37366,537,73,55,6021,8598,1444,5372,6485
2145,79211,1111,678,65,8425,9709,2972,12448,14244
2146,17465,286,259,10,2060,1635,476,2495,3169
2147,36341,676,736,26,4471,1903,1249,4895,6285
2148,63071,1293,1080,71,8151,6186,2363,9345,10913
2150,31500,357,143,37,3362,10394,825,8343,5218
2151,21306,299,136,16,2405,1890,919,3563,3410
2152,11215,174,80,8,1027,760,427,2140,1753
2153,56562,673,292,36,6687,3192,1505,5729,10569
2154,39594,446,132,13,5108,2271,1442,4013,7209
2155,55452,677,359,28,7482,2736,741,3275,11214
2156,12942,111,62,8,1812,188,318,798,2237
2157,3741,51,17,0,529,20,71,208,620
2158,8575,99,47,0,1263,260,310,648,1461
2159,4975,57,36,3,620,75,181,368,824
2160,35973,755,303,43,5119,4112,1557,5699,6096
2161,31418,673,269,27,4662,2579,1479,4191,5130
2162,18622,432,151,18,2748,1117,940,2496,3174
2163,9590,251,116,4,1349,705,621,1652,1353
2164,19624,432,227,9,2621,1421,1237,2424,3342
2165,42444,1042,243,13,6068,6173,2906,6315,7228
2166,52762,1757,274,21,8155,4853,3061,7728,9178
2167,9633,188,137,11,1165,705,239,1340,1721
2168,43451,1305,1090,19,7049,1999,1901,4767,7648
2170,105451,2357,1363,62,14097,7954,4947,13841,17885
2171,34866,631,267,22,5140,1048,913,1809,6877
2172,2781,24,32,0,381,44,47,136,549
2173,14433,213,269,6,2316,616,203,1227,2792
2174,2267,20,6,3,296,176,42,119,447
2175,1837,21,21,0,243,29,91,104,302
2176,47809,913,318,14,7134,2831,2941,3968,8880
2177,15979,493,143,5,2533,720,909,1447,2975
2178,4230,54,55,0,707,75,189,177,678
2179,6530,100,106,0,857,130,380,520,984
2190,25566,478,137,35,3924,909,1524,2784,4348
2191,6322,101,37,5,772,217,334,870,1095
2192,12718,268,102,16,1635,1050,758,2402,2091
2193,15256,246,170,16,1862,1114,577,2915,2536
2194,24541,431,102,41,3417,4403,1013,5133,4256
2195,27154,445,76,100,3409,5239,967,5049,4810
2196,31815,626,182,39,4638,2383,1426,4210,5462
2197,9069,216,71,8,1306,342,540,1056,1544
2198,9038,157,46,7,1146,255,577,863,1538
2199,18013,397,152,16,2506,997,1030,2316,3051
2200,43687,1037,179,52,6092,4242,1909,6544,7427
2203,13707,246,199,16,1508,734,433,3643,1941
2204,26502,435,423,35,2916,1716,1331,6619,3784
2205,19447,224,131,18,3066,3882,645,4354,3025
2206,19404,263,169,17,2203,464,1125,2688,3297
2207,28534,415,161,28,3461,1465,1651,4328,4794
2208,12446,209,95,8,1511,549,558,1879,2187
2209,15769,243,119,9,2012,1190,645,2611,2715
2210,30586,527,234,16,3824,1642,1706,4860,5048
2211,16846,282,161,10,2134,656,842,2508,2871
2212,15847,321,163,9,1993,851,818,2252,2690
2213,21784,360,324,11,2766,580,743,2764,3862
2214,3952,66,94,0,508,67,78,344,681
2216,28067,384,189,27,3462,4141,1098,6065,4520
2217,26843,381,177,26,3149,3526,908,5581,4454
2218,16431,268,89,10,2137,2098,549,3282,2876
2219,13200,232,119,15,1232,357,543,2428,1955
2220,32487,479,100,15,5366,6556,1086,6504,5947
2221,16481,215,70,5,2310,729,654,1909,2946
2222,12786,174,52,4,1716,1425,413,2565,2212
2223,20910,278,150,8,2478,1066,682,3609,3526
2224,14213,218,128,11,1558,276,669,1701,2319
2225,5407,44,46,4,608,88,85,401,1047
2226,12504,178,134,3,1398,238,375,1648,2187
2227,14626,222,149,6,1700,288,393,1960,2477
2228,18361,300,199,20,2008,650,875,3088,2882
2229,28718,396,317,11,3297,626,936,4142,4630
2230,28843,434,297,20,3173,862,673,5146,3845
2231,2267,47,66,0,221,12,37,165,400
2232,32870,534,380,18,3574,855,1140,5182,5274
2233,29498,444,399,11,3516,268,754,2935,5320
2234,30580,377,313,14,4702,356,744,1936,5862
2250,67194,1469,1865,35,8037,1446,2839,11068,9999
2251,32702,655,739,9,3635,488,1161,4667,5087
2256,15598,365,677,3,1532,299,840,3705,1976
2257,29010,712,1038,13,2912,406,1189,5806,3946
2258,5164,104,135,0,697,72,126,546,829
2259,59513,1647,2812,6,7434,701,2703,7926,9077
2260,23417,399,418,11,2781,480,501,2639,3774
2261,52754,1481,2152,14,5999,534,2276,8615,7602
2262,20830,740,1423,0,2685,109,884,3256,3085
2263,24267,799,1352,4,2745,174,1533,4692,3155
2264,14233,358,591,3,1584,193,815,2280,1907
2265,5805,108,181,0,788,77,259,758,818
2267,2759,50,115,0,225,12,107,424,334
2278,2570,64,145,0,354,0,76,198,442
2280,26678,569,828,6,3293,208,1099,3875,4034
2281,14274,300,557,0,1518,132,676,2339,1999
