POA_CODE_2016,SPF Children_0_15
POA2000,138
POA2006,0
POA2007,49
POA2008,49
POA2009,150
POA2010,138
POA2011,128
POA2015,128
POA2016,103
POA2017,276
POA2018,235
POA2019,186
POA2020,152
POA2021,168
POA2022,134
POA2023,137
POA2024,137
POA2025,92
POA2026,361
POA2027,86
POA2028,60
POA2029,152
POA2030,180
POA2031,445
POA2032,169
POA2033,117
POA2034,299
POA2035,498
POA2036,542
POA2037,192
POA2038,105
POA2039,91
POA2040,337
POA2041,184
POA2042,175
POA2043,87
POA2044,110
POA2045,82
POA2046,391
POA2047,144
POA2048,95
POA2049,145
POA2050,58
POA2052,3
POA2060,132
POA2061,49
POA2062,110
POA2063,56
POA2064,141
POA2065,289
POA2066,377
POA2067,378
POA2068,215
POA2069,142
POA2070,130
POA2071,175
POA2072,107
POA2073,151
POA2074,222
POA2075,224
POA2076,248
POA2077,548
POA2079,91
POA2080,21
POA2081,50
POA2082,68
POA2083,25
POA2084,38
POA2085,101
POA2086,144
POA2087,149
POA2088,351
POA2089,157
POA2090,147
POA2092,77
POA2093,323
POA2094,67
POA2095,159
POA2096,193
POA2097,212
POA2099,600
POA2100,219
POA2101,266
POA2102,120
POA2103,122
POA2104,20
POA2105,17
POA2106,149
POA2107,174
POA2108,21
POA2109,15
POA2110,115
POA2111,184
POA2112,421
POA2113,188
POA2114,280
POA2115,185
POA2116,120
POA2117,354
POA2118,336
POA2119,106
POA2120,195
POA2121,342
POA2122,390
POA2123,0
POA2125,124
POA2126,168
POA2127,187
POA2128,35
POA2129,0
POA2130,111
POA2131,304
POA2132,148
POA2133,167
POA2134,180
POA2135,230
POA2136,126
POA2137,362
POA2138,197
POA2139,0
POA2140,181
POA2141,389
POA2142,403
POA2143,178
POA2144,537
POA2145,1111
POA2146,286
POA2147,676
POA2148,1293
POA2150,357
POA2151,299
POA2152,174
POA2153,673
POA2154,446
POA2155,677
POA2156,111
POA2157,51
POA2158,99
POA2159,57
POA2160,755
POA2161,673
POA2162,432
POA2163,251
POA2164,432
POA2165,1042
POA2166,1757
POA2167,188
POA2168,1305
POA2170,2357
POA2171,631
POA2172,24
POA2173,213
POA2174,20
POA2175,21
POA2176,913
POA2177,493
POA2178,54
POA2179,100
POA2190,478
POA2191,101
POA2192,268
POA2193,246
POA2194,431
POA2195,445
POA2196,626
POA2197,216
POA2198,157
POA2199,397
POA2200,1037
POA2203,246
POA2204,435
POA2205,224
POA2206,263
POA2207,415
POA2208,209
POA2209,243
POA2210,527
POA2211,282
POA2212,321
POA2213,360
POA2214,66
POA2216,384
POA2217,381
POA2218,268
POA2219,232
POA2220,479
POA2221,215
POA2222,174
POA2223,278
POA2224,218
POA2225,44
POA2226,178
POA2227,222
POA2228,300
POA2229,396
POA2230,434
POA2231,47
POA2232,534
POA2233,444
POA2234,377
POA2250,1469
POA2251,655
POA2256,365
POA2257,712
POA2258,104
POA2259,1647
POA2260,399
POA2261,1481
POA2262,740
POA2263,799
POA2264,358
POA2265,108
POA2267,50
POA2278,64
POA2280,569
POA2281,300
POA2282,287
POA2283,614
POA2284,309
POA2285,756
POA2286,105
POA2287,892
POA2289,350
POA2290,742
POA2291,159
POA2292,63
POA2293,61
POA2294,45
POA2295,128
POA2296,60
POA2297,57
POA2298,217
POA2299,286
POA2300,150
POA2302,4
POA2303,190
POA2304,396
POA2305,266
POA2306,205
POA2307,113
POA2308,0
POA2311,20
POA2312,32
POA2314,0
POA2315,302
POA2316,114
POA2317,129
POA2318,239
POA2319,189
POA2320,933
POA2321,354
POA2322,507
POA2323,712
POA2324,701
POA2325,981
POA2326,217
POA2327,267
POA2328,60
POA2329,57
POA2330,465
POA2331,0
POA2333,459
POA2334,84
POA2335,135
POA2336,50
POA2337,146
POA2338,32
POA2339,13
POA2340,1452
POA2341,50
POA2342,6
POA2343,130
POA2344,12
POA2345,13
POA2346,86
POA2347,35
POA2350,620
POA2351,0
POA2352,72
POA2353,28
POA2354,70
POA2355,14
POA2356,3
POA2357,110
POA2358,91
POA2359,21
