POA_CODE_2016,Equal Weighted Score,Disabled Score,Indigenous Score,Senior's Score,Youth Score,Number of people under Median income,Number of Households with more than 3 people,Number of households with 1 or less cars,Number of people aged 14 and old with a disability,Number of people aged 55+,Number Of Immigrants arrived since 2011,Number of 15-24 Year Olds,Number of people who travel to work ONLY by Taxi,Total Indigenous Population,Single Parent Families with Children under 15,Total Population
2000,0.25778532,0.10545493,0.26156131,0.28307328,0.38105178,0.17588742,0.51288716,0.61157929,0.03502244,0.15631546,0.67003514,0.22385325,0.40983109,0.00200987,0.05503597,0.25676866
2006,0.09698214,0.00357427,0.00820917,0.13687380,0.23927134,0.00000000,0.00000000,0.00676420,0.00714853,0.02121384,0.18493513,0.95032115,0.25253376,0.01430581,0.00000000,0.01176669
2007,0.23644300,0.09129452,0.21117006,0.23055834,0.41274910,0.15036744,0.48707603,0.60464998,0.03222159,0.10165936,0.78494441,0.40890295,0.35945732,0.00682757,0.06056067,0.08283525
2008,0.24167595,0.09150871,0.24788740,0.20342004,0.42388766,0.15330430,0.40834721,0.72185682,0.02971311,0.09013072,0.73946949,0.41204231,0.31670936,0.00669406,0.04573592,0.10969440
2009,0.30528930,0.09449387,0.24663167,0.50622489,0.37380679,0.14309685,0.52067724,0.71333298,0.04589089,0.23494880,0.38661255,0.11812008,0.77750098,0.01008784,0.12797727,0.12000899
2010,0.30243400,0.08763611,0.29347920,0.49648423,0.33213646,0.09111560,0.32420720,0.81425850,0.08415663,0.22488669,0.30692171,0.09896456,0.76808178,0.00874807,0.05439500,0.25979465
2011,0.33080169,0.08831265,0.28571442,0.64193675,0.30724294,0.08179609,0.18087434,0.85117095,0.09482921,0.28387349,0.22540416,0.11513037,1.00000000,0.01134648,0.06601589,0.19854415
2015,0.23197293,0.08166969,0.22465453,0.27351304,0.34805448,0.11494253,0.50612523,0.66846203,0.04839685,0.16234369,0.16950662,0.10268811,0.38468240,0.02232602,0.14108416,0.09288752
2016,0.30016768,0.13980549,0.26171931,0.43315069,0.36599523,0.14883070,0.44845039,0.75151793,0.13078029,0.28077653,0.23296501,0.11518189,0.58552486,0.02277226,0.08521738,0.12375635
2017,0.29005140,0.15426706,0.30224131,0.28534132,0.41835590,0.21523588,0.48966390,0.74005316,0.09329824,0.18015096,0.48945805,0.22847065,0.39053169,0.02235208,0.12217784,0.23132413
2018,0.27795555,0.20418575,0.23758170,0.26596514,0.40408962,0.26918898,0.67696221,0.51075269,0.13918252,0.28919948,0.23568045,0.15945460,0.24273080,0.01088839,0.15086782,0.15949673
2019,0.21459071,0.15678631,0.15658111,0.20551267,0.33948274,0.17793873,0.73930845,0.31862801,0.13563388,0.27412554,0.07798179,0.12205576,0.13689980,0.02825127,0.18761009,0.10150644
2020,0.23982759,0.15185825,0.20644024,0.21519359,0.38581828,0.20643786,0.69802244,0.46841016,0.09727864,0.21515565,0.30903060,0.17040267,0.21523152,0.01255128,0.11248554,0.13836166
2021,0.27763631,0.06555704,0.21377373,0.49987680,0.33133766,0.07351597,0.51762391,0.63427448,0.05759812,0.27997824,0.15037332,0.09993627,0.71977535,0.00387451,0.11993375,0.14342995
2022,0.23140033,0.10973855,0.21096249,0.25564053,0.34925975,0.13672343,0.57065543,0.58507107,0.08275366,0.30791335,0.24948695,0.10458906,0.20336771,0.00491320,0.11712350,0.11714227
2023,0.21690603,0.06776082,0.14190806,0.35252286,0.30543239,0.08820922,0.63182391,0.37530253,0.04731243,0.32923012,0.14781635,0.12639388,0.37581560,0.00375699,0.13975915,0.10036349
2024,0.22639042,0.11595774,0.16288642,0.31631088,0.31040663,0.09265782,0.60716947,0.44991741,0.13925765,0.31677782,0.13609681,0.09188183,0.31584394,0.00526243,0.13525324,0.10370801
2025,0.25317262,0.09172856,0.17338652,0.43474961,0.31282577,0.09878460,0.54277515,0.52269826,0.08467252,0.41151679,0.12997974,0.08704506,0.45798244,0.00271843,0.13581732,0.06934478
2026,0.22979771,0.08329101,0.24107556,0.26883361,0.32599066,0.10277778,0.55615189,0.55339112,0.06380425,0.21799840,0.25420642,0.09164186,0.31966882,0.00378266,0.12146465,0.30435068
2027,0.27472352,0.08317572,0.18306655,0.54404670,0.28860510,0.07593045,0.42309335,0.57622862,0.09042099,0.49320871,0.12774049,0.07916798,0.59488469,0.00336135,0.11472073,0.07674580
2028,0.26396586,0.08875485,0.19048141,0.45922612,0.31740108,0.10641965,0.46357981,0.60862253,0.07109005,0.41617735,0.14968404,0.09098232,0.50227488,0.00342354,0.14129881,0.04345993
2029,0.23208085,0.10553659,0.16539967,0.33632255,0.32106458,0.11349262,0.61520555,0.45141212,0.09758056,0.34282079,0.13141251,0.10414804,0.32982431,0.00340358,0.16681421,0.09329036
2030,0.19253743,0.09230947,0.12711198,0.24253023,0.30819804,0.10492578,0.72135361,0.26856746,0.07969316,0.35709257,0.09336601,0.13794530,0.12796790,0.00308533,0.13976328,0.13186937
2031,0.23512291,0.10412587,0.24652511,0.24358396,0.34625671,0.11667771,0.60888635,0.53829705,0.09157404,0.26743169,0.21904337,0.12116573,0.21973622,0.00582731,0.14008694,0.32529838
2032,0.25390277,0.17436635,0.23095153,0.16736155,0.44293165,0.23224879,0.71009347,0.52444434,0.11648391,0.25216933,0.51553918,0.30494001,0.08255378,0.01079215,0.11070030,0.15632085
2033,0.23079016,0.12435177,0.19711112,0.22365387,0.37804388,0.16339672,0.61165190,0.51137257,0.08530683,0.24579002,0.35113800,0.22575434,0.20151772,0.00531109,0.11054648,0.10836409
2034,0.21605196,0.09705861,0.20893727,0.22289550,0.33531646,0.11489161,0.60649411,0.51650592,0.07922561,0.27182683,0.19534431,0.10337420,0.17396418,0.01033231,0.15780494,0.19401922
2035,0.25540538,0.17654755,0.24469966,0.23157853,0.36879580,0.20974920,0.68857459,0.43321393,0.14334590,0.34024608,0.18747946,0.14364546,0.12291099,0.01274806,0.15784417,0.32308744
2036,0.24265727,0.17931726,0.22227127,0.23000181,0.33903874,0.22307363,0.66502162,0.33664574,0.13556089,0.35544217,0.10062924,0.13141397,0.10456145,0.04452937,0.19485794,0.28483633
2037,0.28315130,0.13529321,0.24875387,0.37341943,0.37513871,0.16093702,0.49935619,0.66268854,0.10964939,0.28648515,0.23310580,0.17757308,0.46035371,0.02044652,0.13024568,0.15094340
